"word","prob","noun_ratio"
"photoelectric",0.504,0.0359281437125748
"humidification",0.27,1
"datafile",0.198,1
"ldr",0.102,1
"patch",0.424,0.897260273972603
"sensitivity",0.64,1
"tyndall",0.022,0
"karate",0.008,0.666666666666667
"lots",0.294,0.990384615384615
"motional",0.562,0
"conductive",0.706,0.0909090909090909
"solenoid",0.976,0.773462783171521
"irf",0.236,0.833333333333333
"spectrometers",0.46,1
"extend",0.368,0.0971428571428571
"nature",0.674,0.948931735278791
"extent",0.466,0.959459459459459
"airflow",0.686,0.671875
"heating",0.842,0.445378151260504
"incense",0.046,0.6
"levitating",0.542,0.170731707317073
"unsymmetrical",0.106,0
"blonde",0.036,0.333333333333333
"reflectionless",0.3,0.5
"triviality",0.272,1
"union",0.106,1
"bahtinov",0.05,1
"much",0.168,0
"frw",0.86,0.72972972972973
"progenitor",0.486,1
"tallest",0.136,0
"rge",0.404,0.941176470588235
"baloon",0.246,1
"spit",0.046,0.208333333333333
"cotangent",0.22,0.727272727272727
"hepa",0.592,0.777777777777778
"spin",0.91,0.729678638941399
"professionally",0.044,0
"blowpipe",0.044,1
"vertexes",0.114,1
"kohn",0.564,0.702702702702703
"conditioned",0.06,0
"conditioner",0.77,0.888888888888889
"symmetrized",0.118,0
"boiled",0.108,0
"boiler",0.348,0.932203389830508
"academic",0.096,0
"academia",0.394,0.941176470588235
"tobochnik",0.13,0.4
"absurdities",0.13,1
"appropriately",0.052,0
"homogeneity",0.792,0.992063492063492
"airbag",0.16,0.769230769230769
"lasso",0.132,0.666666666666667
"hal",0.124,0.25
"hab",0.276,1
"fortran",0.076,0.666666666666667
"cations",0.126,1
"hat",0.502,0.139384732244588
"rescaled",0.086,0
"yukawa",0.728,0.585798816568047
"survival",0.28,0.666666666666667
"unequivocally",0.034,0
"indicative",0.17,0.269230769230769
"clustered",0.082,0
"shadow",0.874,0.919678714859438
"calcualte",0.016,0
"alice",0.71,0.727134146341463
"warping",0.528,0.606060606060606
"crown",0.578,0.571428571428571
"begin",0.442,0.20223841749089
"proportionally",0.062,0
"deflection",0.894,0.995901639344262
"captive",0.018,0
"biomembrane",0.184,1
"bottom",0.372,0.698124267291911
"months",0.286,1
"treadmill",0.938,0.934782608695652
"strangelets",0.24,0.8
"monogamy",0.408,0.727272727272727
"fish",0.63,0.547619047619048
"compactifications",0.826,1
"hadamard",0.834,0.868686868686869
"bamboo",0.112,0.8
"stokes",0.804,0.870454545454545
"spaceships",0.596,0.954545454545455
"anomalous",0.414,0
"antiproton",0.82,0.791666666666667
"mbd",0.17,0.714285714285714
"maxwell",0.798,0.820677570093458
"dyson",0.808,0.809210526315789
"beings",0.338,0.941176470588235
"mbt",0.07,0.5
"fabric",0.812,0.870192307692308
"altitude",0.944,0.867391304347826
"perfumes",0.098,0.5
"spurting",0.262,0.333333333333333
"antibunching",0.31,0.2
"arrays",0.162,0.894736842105263
"smashed",0.024,0
"coadjoint",0.078,1
"signification",0.3,1
"triangles",0.652,1
"microwaving",0.06,0
"eventual",0.096,0
"ammeter",0.964,0.918367346938776
"role",0.424,1
"roll",0.942,0.513368983957219
"intend",0.024,0.0704225352112676
"transported",0.104,0
"variable",0.844,0.256508422664625
"explosions",0.762,1
"thermocompressor",0.142,1
"filing",0.172,0.571428571428571
"overturned",0.13,0
"childs",0.116,0.833333333333333
"chain",0.78,1
"chair",0.722,0.992805755395683
"tilt",0.714,0.572327044025157
"amplification",0.75,1
"ionise",0.068,0
"crater",0.902,0.959183673469388
"supercavitate",0.038,0.5
"deforming",0.42,0.142857142857143
"flatbed",0.07,1
"jerk",0.904,0.879432624113475
"intake",0.466,0.666666666666667
"olympus",0.172,0.5
"stays",0.11,0.263929618768328
"exact",0.312,0.0201131363922062
"minute",0.456,0.866666666666667
"cooks",0.396,0.444444444444444
"boudary",0.274,0.25
"qudit",0.172,1
"corbino",0.034,1
"isobars",0.032,1
"braneworld",0.104,1
"hindered",0.094,0
"collaspe",0.012,0.5
"incrementally",0.198,0
"polygonal",0.104,0
"ground",0.914,0.976805991785455
"climbs",0.036,0.136363636363636
"pedagogic",0.282,0.3
"plucking",0.192,0.125
"address",0.092,0.192893401015228
"magnetisation",0.788,1
"dusty",0.03,0
"rydbergs",0.136,0
"mandula",0.282,0.892857142857143
"accomplished",0.054,0
"throughput",0.348,0.833333333333333
"stencil",0.17,0.9
"digamma",0.074,1
"boyles",0.608,1
"raise",0.146,0.0979591836734694
"working",0.444,0.04150390625
"clasically",0.102,0
"optimize",0.062,0
"opposed",0.042,0
"spivak",0.366,0.310344827586207
"tines",0.23,1
"cardinality",0.458,1
"riders",0.146,1
"originally",0.112,0
"rutherford",0.706,0.918918918918919
"oscillator",0.866,0.99
"following",0.458,0.0527881040892193
"mirrors",0.976,0.990016638935108
"parachute",0.966,0.944444444444444
"locks",0.068,0.538461538461538
"incremental",0.238,0
"fueled",0,0
"temperate",0.196,0.8125
"pulley",0.922,0.962809917355372
"surfing",0.43,0.142857142857143
"conscious",0.172,0
"remotes",0.072,0.5
"quadrant",0.244,0.818181818181818
"pulled",0.036,0
"latency",0.158,1
"bracelets",0.046,1
"engulfed",0.004,0
"years",0.594,1
"structuring",0.126,0.166666666666667
"multipath",0.044,1
"jim",0.394,0.861111111111111
"troubles",0.5,0.855670103092783
"differentiating",0.47,0.0472972972972973
"suspension",0.76,1
"troubled",0.06,0
"drilling",0.408,0.666666666666667
"compactifying",0.086,0
"electrochromic",0.046,0
"instability",0.772,0.986842105263158
"quarter",0.49,1
"quartet",0.28,1
"retrieve",0.02,0.0465116279069767
"bursting",0.31,0.352941176470588
"prisms",0.626,0.909090909090909
"entering",0.112,0.0189393939393939
"troll",0.046,0.7
"bouyant",0.134,0.166666666666667
"lagrangian",0.88,0.230419673883988
"internet",0.634,0.936056838365897
"igniting",0.146,0
"retrocausal",0.172,0.333333333333333
"disintegrated",0.106,0
"snooker",0.382,1
"complicated",0.11,0.00130548302872063
"eliezer",0.356,1
"oblateness",0.46,0.9
"wrong",0.248,0.0108733172247152
"initiate",0.11,0.0333333333333333
"neglect",0.222,0.0542986425339367
"gunshot",0.008,0.5
"saving",0.214,0.0967741935483871
"symmetry",0.886,0.9685006299874
"spoken",0.102,0.2
"tableaux",0.346,0.833333333333333
"one",0.646,0.058451954705557
"spokes",0.15,1
"constants",0.724,0.984279475982533
"absorbs",0.13,0.16260162601626
"reductio",0.04,0.666666666666667
"wandering",0.462,0.176470588235294
"turned",0.104,0
"locations",0.718,1
"auroras",0.112,0.666666666666667
"turner",0.174,0.928571428571429
"validating",0.186,0
"observationally",0.252,0
"lick",0.04,0
"printer",0.488,1
"opposite",0.24,0.111768802228412
"buffer",0.204,0.823529411764706
"discerning",0.12,0
"caustics",0.374,1
"printed",0.328,0
"diffractive",0.076,0
"electrolasers",0.068,1
"messier",0.058,0.272727272727273
"phir",0.236,0.833333333333333
"dimensioned",0.114,0
"friction",0.972,0.970873786407767
"functionals",0.61,1
"inconsistent",0.634,0.221428571428571
"imagined",0.086,0
"ensembles",0.768,0.954545454545455
"reconciling",0.206,0
"tilting",0.262,0.0416666666666667
"etcetera",0.082,0.333333333333333
"homeomorphic",0.206,0.272727272727273
"hotness",0.442,0.888888888888889
"vision",0.772,1
"attenuated",0.124,0
"motionlessness",0.11,1
"attenuates",0.226,0.3
"wideband",0.074,1
"impressions",0.208,1
"postdoc",0.074,1
"kilometer",0.326,0.857142857142857
"moons",0.77,1
"marks",0.11,0.89041095890411
"analyzer",0.638,0.970588235294118
"mendeleev",0.196,0.875
"concentrated",0.158,0
"circumference",0.736,0.984674329501916
"intuitional",0.026,0
"rhodes",0.332,1
"flipped",0.086,0
"concentrates",0.278,0.4
"supercriticality",0.592,1
"adatoms",0.016,0.666666666666667
"translationally",0.164,0.0294117647058824
"buoyancy",0.932,0.97489539748954
"collider",0.756,1
"collides",0.216,0.479166666666667
"accelerometer",0.97,0.968152866242038
"west",0.27,0.446540880503145
"collided",0.076,0
"heliosphere",0.32,0.5
"motives",0.682,1
"wants",0.066,0
"relations",0.756,1
"formed",0.15,0.00218102508178844
"photon",0.944,0.962708830548926
"readings",0.494,0.994350282485876
"photos",0.762,0.980392156862745
"geothermal",0.3,0.0714285714285714
"tightened",0.006,0
"former",0.03,0
"straighter",0.018,0
"fiducial",0.154,0
"squeezed",0.628,0.0348837209302326
"situation",0.732,1
"supercurrents",0.106,1
"technology",0.864,1
"verified",0.108,0
"theorized",0.052,0
"parrallel",0.302,0.6
"visually",0.18,0.0166666666666667
"wires",0.878,0.933526011560694
"sickness",0.116,0.833333333333333
"defy",0.322,0.25
"deflate",0.08,0.4
"constraining",0.144,0.0526315789473684
"edges",0.492,0.906906906906907
"wired",0.146,0
"wholeness",0.318,1
"tracking",0.36,0.14
"concentred",0,0
"dimension",0.862,0.997298514182801
"recycled",0.124,0
"qbit",0.402,1
"rover",0.474,0.875
"generator",0.832,0.997385620915033
"slats",0.022,1
"occluded",0.004,0
"dicke",0.604,0.394736842105263
"viscometer",0.59,1
"magnetar",0.33,0.888888888888889
"absense",0.066,0.888888888888889
"decomposed",0.098,0
"sums",0.44,0.84971098265896
"thermopower",0.176,0.8
"traffic",0.508,1
"preference",0.5,1
"world",0.694,1
"counterterm",0.46,0.821428571428571
"hamiltons",0.572,1
"catamarans",0.058,1
"shutter",0.21,0.85
"ydse",0.344,0.9
"enery",0.034,0.875
"obstruct",0.12,0.25
"magma",0.178,0.923076923076923
"complementarity",0.902,0.988372093023256
"diving",0.672,0.208333333333333
"strogatz",0.266,0.307692307692308
"cavity",0.914,0.9984375
"transmutation",0.824,0.942857142857143
"retains",0.008,0
"meniscus",0.894,0.963636363636364
"centari",0.156,1
"ferromagnetic",0.498,0.00790513833992095
"impervious",0.072,0
"sensitively",0.154,0
"perturbed",0.61,0.144827586206897
"terraformation",0.08,1
"pivot",0.556,0.841409691629956
"conceptually",0.372,0.0133333333333333
"rossi",0.388,0.785714285714286
"gennes",0.454,1
"bubbly",0.044,0.333333333333333
"developable",0.138,0
"sealed",0.212,0
"bubble",0.892,0.246031746031746
"trusses",0.396,1
"witt",0.454,0.5
"continents",0.314,1
"unmagnetised",0.016,0
"pull",0.762,0.524734982332155
"rush",0.074,0.40625
"nanotube",0.962,0.733333333333333
"dirty",0.036,0.289473684210526
"interchangable",0.048,0
"monopole",0.934,0.761290322580645
"trips",0.136,0.933333333333333
"rust",0.216,0.769230769230769
"centrosymmetric",0.088,0
"watches",0.258,0.886363636363636
"invertibility",0.218,1
"formulation",0.696,1
"watched",0.14,0
"cream",0.528,0.944444444444444
"ideally",0.142,0.00888888888888889
"massless",0.85,0.59748427672956
"hydraulics",0.838,1
"waving",0.548,0.108108108108108
"tricky",0.298,0.0381679389312977
"posible",0.102,0
"tricks",0.314,0.976744186046512
"kilogram",0.924,0.845070422535211
"nokton",0.008,1
"scm",0.37,1
"sci",0.246,0.573170731707317
"ceramic",0.148,0.0769230769230769
"bayesianism",0.288,1
"causes",0.186,0.0936902485659656
"aplying",0.022,0
"norm",0.828,0.883161512027491
"deformations",0.9,1
"sand",0.822,0.955056179775281
"small",0.266,0
"quicker",0.5,0.686746987951807
"past",0.552,0.269515201314708
"fractionation",0.162,1
"displays",0.418,0.602739726027397
"pass",0.386,0.294573643410853
"clock",0.918,0.973929236499069
"subspaces",0.612,1
"equivalences",0.282,1
"full",0.21,0
"passivation",0.16,1
"november",0.228,0.529411764705882
"provably",0.042,0
"experience",0.394,0.505457598656591
"prior",0.168,0.00714285714285714
"periodic",0.81,0.102981029810298
"provable",0.072,0.0476190476190476
"followed",0.06,0.003690036900369
"polarizers",0.822,1
"plateus",0.004,0.5
"calcuate",0.006,0
"thermalisation",0.338,1
"single",0.234,0
"aharony",0.08,0.333333333333333
"automata",0.866,0.92
"supertrace",0.018,1
"door",0.692,0.986394557823129
"substances",0.824,0.993421052631579
"corrected",0.25,0
"tested",0.114,0
"nomad",0.298,0
"negativity",0.434,0.9
"centrifugal",0.552,0.147113594040968
"venusian",0.062,0.666666666666667
"knocked",0.042,0
"scramble",0.026,0
"thermite",0.03,0.333333333333333
"civilizations",0.546,1
"bonded",0.022,0
"huge",0.138,0
"respective",0.07,0.0296052631578947
"statisticians",0.204,0.714285714285714
"enlarge",0.05,0.04
"dismissed",0.006,0
"wiechert",0.308,0.810810810810811
"scifi",0.25,0.5
"variant",0.704,0.584070796460177
"nanogold",0.078,0
"maltese",0.012,0
"mendel",0.094,0.25
"resemble",0.026,0
"twisting",0.738,0.271186440677966
"pinewood",0.488,1
"perception",0.842,1
"paper",0.552,1
"scott",0.206,0.904761904761905
"smiling",0.076,0
"discretizing",0.09,0
"bypass",0.024,0.304347826086957
"isaac",0.294,0.421052631578947
"sauce",0.204,0.789473684210526
"universality",0.792,0.716216216216216
"gadget",0.364,0.91304347826087
"courses",0.22,0.945848375451264
"shocking",0.124,0.142857142857143
"registers",0.176,0.741935483870968
"reactions",0.808,0.99738219895288
"hadronic",0.174,0.0789473684210526
"miss",0.108,0.270967741935484
"operation",0.62,1
"occure",0.086,0.75
"research",0.66,1
"denoted",0.092,0
"whirlpool",0.644,0.810810810810811
"offline",0.106,0.555555555555556
"occurs",0.362,0.18140589569161
"windmills",0.164,0.875
"suntan",0.088,0.333333333333333
"airway",0.014,0
"imrt",0.216,1
"definition",0.656,0.998221092757306
"pairs",0.612,0.923295454545455
"renomalization",0.268,1
"preservation",0.658,1
"firsts",0.012,1
"dft",0.928,0.766233766233766
"magetic",0.104,0
"calculations",0.722,0.995172413793103
"parsimonious",0.028,0
"daytona",0.222,1
"megaparsec",0.164,1
"genesis",0.296,1
"underpinning",0.128,0.5
"elaborate",0.134,0.0541666666666667
"insertion",0.336,1
"qustion",0.06,1
"conjugate",0.834,0.878406708595388
"self",0.654,0.504561403508772
"also",0.204,0
"recognizing",0.144,0.04
"pringles",0.048,1
"singles",0.034,0
"singlet",0.924,0.920415224913495
"sometimes",0.442,0.00772626931567329
"barred",0.038,0
"barrel",0.932,0.958333333333333
"wording",0.2,0.804878048780488
"ambiguities",0.606,1
"occupation",0.612,0.966666666666667
"streetlights",0.312,0.6
"uhlmann",0.078,0.2
"lightspeed",0.702,0.766666666666667
"columns",0.138,0.848484848484849
"sunny",0.286,0
"bytes",0.118,0.916666666666667
"overboard",0.2,0.333333333333333
"analog",0.676,0.902654867256637
"shower",0.69,0.660377358490566
"electrobalance",0.344,1
"dipole",0.978,0.533143264433357
"bertozzi",0.294,0.5
"synchronizing",0.094,0
"tropospheric",0.014,0
"observer",0.936,0.829841449603624
"retarder",0.372,0.833333333333333
"last",0.152,0
"nanotech",0.096,0.6
"connection",0.72,1
"lase",0.132,0.25
"retarded",0.586,0.00543478260869565
"healing",0.158,0.375
"ddes",0.112,1
"bell",0.878,0.845896147403685
"oxygen",0.916,0.926977687626775
"ultrashort",0.502,0.285714285714286
"incompatibilities",0.068,1
"adaptation",0.33,1
"belt",0.736,0.819148936170213
"initiation",0.066,1
"kronecker",0.598,0.835294117647059
"solveable",0.024,0
"massles",0.084,1
"electricty",0.44,0.857142857142857
"homologically",0.004,0
"moderation",0.294,1
"nrt",0.208,0.486666666666667
"underdetermined",0.39,0
"exponential",0.762,0.164285714285714
"expanded",0.124,0
"empirical",0.402,0.00436681222707424
"pressed",0.008,0
"cages",0.152,1
"voc",0.406,0.833333333333333
"vol",0.35,0.612167300380228
"averaging",0.75,0.121621621621622
"von",0.544,0.735294117647059
"motors",0.556,1
"bicep",0.288,0.75
"plastered",0.006,0
"starlight",0.848,0.7
"schwarzchild",0.408,0.0985915492957746
"weblock",0.026,1
"thevenins",0.334,1
"usefully",0.044,0
"climb",0.32,0.175675675675676
"cubesat",0.04,0.4
"wzw",0.772,0.476190476190476
"maxiumum",0.058,0
"observed",0.222,0
"crackled",0.01,0
"pinball",0.178,0.75
"comprehensible",0.2,0
"electromagnets",0.758,0.99009900990099
"emergency",0.516,1
"nonphysical",0.032,0
"couple",0.374,0.787207872078721
"emanating",0.048,0.0232558139534884
"vierbeins",0.188,1
"emergence",0.568,1
"abduct",0.032,0
"counterintuitive",0.11,0.0333333333333333
"individuals",0.408,1
"explainable",0.15,0.0476190476190476
"spins",0.444,0.78125
"methods",0.74,0.993137254901961
"bounce",0.778,0.513440860215054
"tractrix",0.412,0.857142857142857
"sharma",0.166,0.5
"measurements",0.786,0.990045941807044
"behave",0.266,0.101492537313433
"inserting",0.202,0.00934579439252336
"mnemonics",0.468,1
"wrinkles",0.362,1
"descripted",0.002,0
"controversies",0.364,1
"clustering",0.104,0.222222222222222
"uncertainties",0.894,0.986486486486487
"span",0.268,0.598425196850394
"harnessed",0.042,0
"gases",0.848,0.981348637015782
"biot",0.668,0.37962962962963
"opens",0.09,0.0540540540540541
"toeplitz",0.184,1
"fragmented",0.082,0
"celestron",0.626,1
"atlantic",0.108,0.125
"considerable",0.08,0
"charmed",0.016,0
"paired",0.172,0
"positivism",0.572,1
"kirchoff",0.234,0.764044943820225
"huggett",0.256,1
"camp",0.282,0.823529411764706
"unsafe",0.07,0
"chap",0.206,0.69047619047619
"unsaturated",0.202,0
"multiphase",0.208,1
"puzzling",0.252,0.0909090909090909
"uranium",0.87,0.580188679245283
"hove",0.456,0.8125
"revision",0.502,1
"prospino",0.106,1
"suppression",0.436,1
"lane",0.226,0.885714285714286
"land",0.698,0.477732793522267
"coanda",0.332,0.833333333333333
"wafer",0.682,0.967741935483871
"crease",0.082,0.857142857142857
"cobalt",0.308,0.954545454545455
"broader",0.098,0.0175438596491228
"glows",0.118,0.40625
"contours",0.374,0.9
"resources",0.726,1
"quadrupled",0.118,0
"minerals",0.378,1
"theoriae",0.01,1
"progenitors",0.126,1
"quantumphysics",0.45,1
"dualistic",0.052,0
"laplaces",0.51,1
"dynamics",0.708,0.996150885296382
"exibits",0.004,1
"sweaty",0.036,0.25
"mossbauer",0.072,1
"diplacusis",0.142,1
"flowing",0.302,0.161333333333333
"continously",0.036,0
"minimisation",0.142,1
"emissive",0.152,0
"trasformation",0.4,1
"sedimentation",0.374,1
"polynomials",0.868,0.973684210526316
"survey",0.556,1
"derby",0.454,0.909090909090909
"birefringent",0.602,0.5
"makes",0.146,0
"maker",0.102,1
"thats",0.256,0.504504504504504
"homogenuous",0.084,0
"confidence",0.58,1
"toffoli",0.28,0.6875
"ontologically",0.09,0
"givens",0.148,0.785714285714286
"pencil",0.692,0.943548387096774
"pfp",0.118,1
"central",0.29,0
"integrating",0.586,0.119485294117647
"unknowns",0.192,0.67741935483871
"scatter",0.528,0.361290322580645
"aqft",0.682,0.676470588235294
"wedge",0.676,0.888888888888889
"loca",0.118,0.666666666666667
"process",0.618,0.990342163355408
"loch",0.024,0.5
"nears",0.034,0
"rods",0.688,0.990536277602524
"generally",0.284,0
"educational",0.334,0
"edwa",0.078,1
"cavitation",0.66,1
"tightrope",0.464,0.833333333333333
"intelligent",0.188,0.0555555555555556
"frustum",0.342,1
"quasinormal",0.246,0
"povms",0.658,0.909090909090909
"realized",0.072,0
"robot",0.8,0.946308724832215
"cherenkov",0.79,0.596491228070175
"houston",0.16,0.857142857142857
"evolutionary",0.118,0
"mute",0.088,0.5
"volts",0.738,0.896396396396396
"insight",0.374,0.847368421052632
"perfect",0.222,0.0517241379310345
"stalled",0,0
"derivative",0.858,0.521402364451692
"pearl",0.382,0.882352941176471
"seawater",0.808,0.866666666666667
"snake",0.11,0.818181818181818
"maslov",0.276,0.363636363636364
"realize",0.106,0.024
"reconstruction",0.648,1
"furnace",0.274,0.897435897435897
"reticle",0.046,1
"concave",0.674,0.492822966507177
"scorch",0.028,0.5
"glasses",0.974,0.93469387755102
"homogeneous",0.398,0
"bump",0.652,0.67032967032967
"alejandro",0.332,1
"books",0.616,1
"pareto",0.174,0.9
"witness",0.14,0.176470588235294
"dopler",0.066,1
"holevo",0.156,0.777777777777778
"unprepared",0.014,0
"adaptive",0.148,0
"burke",0.322,0.75
"disintegrating",0.182,0.166666666666667
"initialize",0.276,0.0555555555555556
"transferable",0.144,0
"could",0.28,0
"length",0.768,0.925214847321265
"relays",0.13,0.666666666666667
"ordering",0.772,0.384375
"backdoor",0.044,1
"lumen",0.408,0.933333333333333
"peripheral",0.09,0
"pervasive",0.204,0
"parafermions",0.168,1
"vigorous",0.01,0
"amsterdam",0.02,0.666666666666667
"laymen",0.32,0.75
"pressurized",0.252,0
"roulette",0.188,1
"identical",0.298,0.0048582995951417
"cmcs",0.086,0.5
"false",0.378,0.00471698113207547
"shrinks",0.058,0.634920634920635
"tensioned",0.094,0
"codebook",0.134,1
"depict",0.238,0.119047619047619
"forming",0.236,0.0544871794871795
"worldwide",0.118,0.222222222222222
"cipher",0.074,1
"placement",0.74,1
"hanford",0.066,0.833333333333333
"perceiving",0.262,0.2
"undersea",0.062,0.25
"obscuration",0.114,1
"rainbows",0.946,0.773584905660377
"dependant",0.438,0.32
"connect",0.546,0.0783505154639175
"greenhouse",0.848,1
"inductor",0.978,0.992167101827676
"jar",0.69,0.945454545454545
"terminal",0.874,0.50571791613723
"entities",0.474,0.963963963963964
"jam",0.372,0.777777777777778
"tape",0.83,0.929078014184397
"riding",0.388,0.0563380281690141
"father",0.262,0.846153846153846
"abbe",0.43,0.266666666666667
"attaches",0.038,0.277777777777778
"styrofoam",0.52,0.842105263157895
"determinants",0.746,1
"sunburnt",0.036,0
"comprising",0.072,0.1
"hemispheres",0.388,0.945945945945946
"stuff",0.42,0.911764705882353
"guessing",0.094,0.0358056265984655
"frame",0.872,0.95402901590631
"tknn",0.58,0.647058823529412
"destiny",0.206,1
"nuclear",0.546,0
"thermonuclear",0.19,0.04
"squinting",0.07,0
"szilard",0.186,0.583333333333333
"membrane",0.966,0.973282442748092
"meromorphic",0.098,0
"interpolate",0.098,0.1875
"staring",0.094,0
"extendable",0.016,0
"bucked",0.134,0
"schroedinger",0.536,0.603015075376884
"indice",0.09,1
"conclude",0.176,0.0860719874804382
"undergraduate",0.616,0.237341772151899
"torsion",0.964,0.932291666666667
"ripening",0.144,0.75
"couder",0.314,0.875
"feather",0.582,0.8125
"commutes",0.276,0.527777777777778
"coherence",0.972,0.990595611285266
"coherency",0.47,1
"cardioid",0.098,0.888888888888889
"mathetical",0.004,0
"discretely",0.142,0
"dyonic",0.002,0
"rbs",0.228,0.714285714285714
"podcasts",0.28,1
"gradients",0.566,0.963414634146341
"compactified",0.362,0
"tattoo",0,1
"gibbs",0.598,0.613372093023256
"identity",0.86,0.987089201877934
"shotgun",0.32,0.909090909090909
"patterns",0.758,0.943859649122807
"credibility",0.262,1
"audio",0.852,0.412844036697248
"magnetization",0.938,0.989547038327526
"clocks",0.924,0.967302452316076
"wec",0.22,0.714285714285714
"web",0.532,0.803921568627451
"wen",0.356,0.776470588235294
"wet",0.874,0.334841628959276
"meaningfulness",0.36,1
"frayed",0.006,0
"tick",0.26,0.461538461538462
"bulge",0.574,0.827160493827161
"flickering",0.46,0.0952380952380952
"become",0.174,0.087027027027027
"emmy",0.102,0.5
"semimetal",0.54,0.75
"grids",0.378,1
"immortal",0.17,0
"gymnastics",0.256,1
"scatters",0.112,0.833333333333333
"choosing",0.214,0.0281124497991968
"flush",0.044,0.5
"humming",0.11,0.142857142857143
"biology",0.484,0.932203389830508
"routers",0.198,1
"pressure",0.952,0.984359104781282
"imaginary",0.438,0.0185676392572944
"microscale",0.262,0.5
"langer",0.14,0
"blackness",0.084,0.9
"swimming",0.816,0.514851485148515
"artefact",0.028,1
"stator",0.306,0.972972972972973
"letters",0.346,1
"coverage",0.24,1
"sharpness",0.516,0.933333333333333
"backscattering",0.51,0.5
"airfoils",0.478,0.9
"terminated",0.074,0
"eratosthenes",0.286,1
"disorder",0.76,0.901840490797546
"unheated",0.068,0
"homebrewing",0.144,0.333333333333333
"desnity",0.026,1
"fragmentation",0.444,0.888888888888889
"tossed",0.068,0
"places",0.288,0.951304347826087
"excitement",0.534,1
"placed",0.14,0
"tosses",0.114,0.533333333333333
"problem",0.682,1
"iqhe",0.57,0.842105263157895
"deriviation",0.398,1
"aristotle",0.422,0.333333333333333
"falkenhagen",0.02,0.5
"effected",0.044,0
"compared",0.11,0
"thermodynamical",0.334,0
