word,n_occurence,n_title,n_question,ratio_capital,ratio_upper,ratio_before_ques,ratio_noun,ratio_around_kw_tag,ratio_around_kw_understand,ratio_around_kw_study,ratio_around_kw_introduction,ratio_around_kw_explain,ratio_around_kw_principle,ratio_around_kw_interpret,ratio_around_kw_difference,ratio_around_kw_book,ratio_around_kw_knowledge,mean_occur_in_title,mean_position_in_title,ratio_in_title_first,ratio_in_title_last,mean_occur_in_content,mean_position_in_content,ratio_in_content_first,ratio_in_content_last,mean_occur_in_question,is_end_with_s,is_end_with_ing,str_length,is_tag
statically,2,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,0,0,1.0,0.33847117794486214,0.0,0.0,1.0,0,0,10,0
hough,2,0,2,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,0,0,1.0,0.95688854489164088,0.0,0.0,1.0,0,0,5,0
starttask,0,0,0,,,,0.75,,,,,,,,,,,0,,0,0,0,,0,0,,0,0,9,0
regional,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,0,0,1.0,0.56097560975609762,0.0,0.0,1.0,0,0,8,0
sdks,1,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,0,0,1.0,0.25,0.0,0.0,1.0,1,0,4,0
cng,0,0,0,,,,1.0,,,,,,,,,,,0,,0,0,0,,0,0,,0,0,3,0
experimentally,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,0,0,1.0,0.86285714285714288,0.0,0.0,1.0,0,0,14,0
screaming,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,0,0,1.0,0.37068965517241381,0.0,0.0,1.0,0,1,9,0
differentiated,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,0,0,1.0,0.88349514563106801,0.0,0.0,1.0,0,0,14,0
basics,12,2,12,0.0,0.0,0.0,1.0,0.0,0.083333333333333329,0.16666666666666666,0.0,0.0,0.083333333333333329,0.0,0.0,0.0,0.0,1.0,0.75,0.0,0.0,1.0,0.47198724285846644,0.0,0.0,1.0909090909090908,1,0,6,0
internally,4,1,4,0.0,0.0,0.25,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.22814778718668069,0.0,0.0,1.0,0,0,10,0
scholar,2,0,2,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,0,0,1.0,0.69634703196347036,0.0,0.0,1.0,0,0,7,0
vibrational,2,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,0,0,2.0,0.85227272727272729,0.0,0.0,2.0,0,0,11,0
getlogger,0,0,0,,,,1.0,,,,,,,,,,,0,,0,0,0,,0,0,,0,0,9,0
wooden,2,0,2,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,0,0,1.5,0.34885654885654888,0.0,0.0,1.5,0,0,6,0
pulsein,4,0,3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,0,0,1.3333333333333333,0.47788359788359785,0.0,0.0,1.3333333333333333,0,0,7,0
persisted,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,0,0,1.0,0.71951219512195119,0.0,0.0,1.0,0,0,9,0
differentiates,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,0,0,1.0,0.89655172413793105,0.0,0.0,1.0,1,0,14,0
reliable,29,3,27,0.0,0.0,0.068965517241379309,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.85185185185185175,0.0,0.66666666666666663,1.1666666666666667,0.56308444836998317,0.0,0.0,1.24,0,0,8,0
mavrogiannis,1,0,1,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,0,0,1.0,0.39473684210526316,0.0,0.0,1.0,1,0,12,0
climb,4,0,3,0.0,0.0,0.0,0.8571428571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,0,0,4.333333333333333,0.60266773083168457,0.0,0.0,4.333333333333333,0,0,5,0
estimations,2,0,2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,0,0,1.0,0.52960526315789469,0.0,0.0,1.0,1,0,11,0
usbs,0,0,0,,,,0.0,,,,,,,,,,,0,,0,0,0,,0,0,,1,0,4,0
nullspace,1,0,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,0,0,1.0,0.6785714285714286,0.0,0.0,1.0,0,0,9,0
incremented,2,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,0,0,1.0,0.33314594898461103,0.0,0.0,1.0,0,0,11,0
bitstream,0,0,0,,,,1.0,,,,,,,,,,,0,,0,0,0,,0,0,,0,0,9,0
tolerate,3,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,0,0,1.0,0.59222707985084222,0.0,0.0,1.0,0,0,8,0
mail,0,0,0,,,,1.0,,,,,,,,,,,0,,0,0,0,,0,0,,0,0,4,0
pulse,42,2,23,0.071428571428571425,0.0,0.023809523809523808,0.45901639344262296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.43333333333333335,0.5,0.0,2.8571428571428572,0.53654001557936415,0.0,0.0,2.8181818181818183,0,0,5,0
feasibility,2,0,2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,0,0,1.0,0.4591384863123994,0.0,0.0,1.0,0,0,11,0
elegant,2,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,0,0,1.0,0.90352250489236785,0.0,0.0,1.0,0,0,7,0
second,208,1,147,0.081730769230769232,0.0,0.0,0.10526315789473684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004807692307692308,0.0,0.0,1.0,0.66666666666666663,0.0,0.0,1.6438356164383561,0.56024441815743664,0.0,0.0068493150684931503,1.6394557823129252,0,0,6,0
attended,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,0,0,1.0,0.20289855072463769,0.0,0.0,1.0,0,0,8,0
sustaining,2,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,0,0,1.0,0.25241545893719808,0.0,0.0,1.0,0,1,10,0
tether,3,1,3,0.33333333333333331,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.7142857142857143,0.0,0.0,1.0,0.44349448832566618,0.0,0.0,1.0,0,0,6,0
xrand,9,0,1,0.0,0.0,0.0,0.7692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,0,0,13.0,0.58317639673571886,0.0,0.0,13.0,0,0,5,0
rollerrorsum,4,0,3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,0,0,2.6666666666666665,0.48362435472071752,0.0,0.0,2.6666666666666665,0,0,12,0
milled,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,0,0,1.0,0.17567567567567569,0.0,0.0,1.0,0,0,6,0
errors,68,1,53,0.014705882352941176,0.0,0.0,0.9857142857142858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.6346153846153846,0.54365252045851353,0.0,0.0,1.6226415094339623,1,0,6,1
errorx,13,0,4,0.15384615384615385,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,0,0,6.75,0.65559972872014127,0.0,0.0,6.75,0,0,6,0
errory,13,0,4,0.15384615384615385,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,0,0,6.75,0.66737997079284972,0.0,0.0,6.75,0,0,6,0
errorz,7,0,3,0.2857142857142857,0.0,0.0,0.6923076923076923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,0,0,4.333333333333333,0.71610072779555634,0.0,0.0,4.333333333333333,0,0,6,0
boogie,1,0,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,0,0,1.0,0.73684210526315785,0.0,0.0,1.0,0,0,6,0
fingers,12,1,10,0.0,0.0,0.083333333333333329,1.0,0.0,0.0,0.0,0.0,0.083333333333333329,0.0,0.0,0.0,0.0,0.0,1.0,0.75,0.0,0.0,1.2222222222222223,0.52789952065814139,0.0,0.0,1.3333333333333333,1,0,7,0
dangles,1,0,1,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,0,0,3.0,0.58027079303675044,0.0,0.0,3.0,1,0,7,0
biasaccely,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,0,0,1.0,0.33333333333333331,0.0,0.0,1.0,0,0,10,0
designing,63,5,56,0.079365079365079361,0.0,0.0,0.015873015873015872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015873015873015872,0.0,0.0,1.0,0.35142857142857148,0.59999999999999998,0.0,1.1372549019607843,0.29952653175564792,0.31372549019607843,0.0,1.1454545454545455,0,1,9,0
increasing,32,3,27,0.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.36296296296296293,0.66666666666666663,0.0,1.2083333333333333,0.56943748908360992,0.0,0.041666666666666664,1.2307692307692308,0,1,10,0
specialist,1,0,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,0,0,1.0,0.80000000000000004,0.0,0.0,1.0,0,0,10,0
args,7,0,5,0.0,0.0,0.0,0.5555555555555556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,0,0,1.3999999999999999,0.33298559998270844,0.0,0.0,1.3999999999999999,1,0,4,0
hero,0,0,0,,,,1.0,,,,,,,,,,,0,,0,0,0,,0,0,,0,0,4,0
evaluating,2,1,2,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.20000000000000001,1.0,0.0,1.0,0.2959326788218794,0.0,0.0,1.0,0,1,10,0
tutorialukf,0,0,0,,,,0.0,,,,,,,,,,,0,,0,0,0,,0,0,,0,0,11,0
sketchyphisics,2,1,2,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.967741935483871,0.0,0.0,2.0,1,0,14,0
leaning,2,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,0,0,1.0,0.79115662272441933,0.0,0.0,1.0,0,1,7,0
here,0,0,0,,,,0.0,,,,,,,,,,,0,,0,0,0,,0,0,,0,0,4,0
getbyname,0,0,0,,,,1.0,,,,,,,,,,,0,,0,0,0,,0,0,,0,0,9,0
reported,6,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,0,0,1.0,0.49053131618289286,0.0,0.16666666666666666,1.0,0,0,8,0
chassis,49,3,36,0.020408163265306121,0.0,0.0,0.9615384615384616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020408163265306121,0.0,0.0,1.0,0.53888888888888886,0.33333333333333331,0.0,1.393939393939394,0.43915401778589863,0.0,0.030303030303030304,1.4848484848484849,1,0,7,1
china,3,0,3,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,0,0,1.0,0.065871839222469322,0.0,0.0,1.0,0,0,5,0
cart,17,1,8,0.0,0.0,0.058823529411764705,0.9230769230769231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,3.0,0.44721102119746187,0.0,0.0,3.1428571428571428,0,0,4,0
granularity,3,1,3,0.33333333333333331,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.59999999999999998,0.0,0.0,1.0,0.6026785714285714,0.0,0.0,1.5,0,0,11,0
adegx,1,0,1,1.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,0,0,2.0,0.34999999999999998,0.0,0.0,2.0,0,0,5,0
adegy,1,0,1,1.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,0,0,2.0,0.35689655172413792,0.0,0.0,2.0,0,0,5,0
adegz,1,0,1,1.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,0,0,2.0,0.36379310344827587,0.0,0.0,2.0,0,0,5,0
intpow,1,0,1,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,0,0,5.0,0.8783902012248469,0.0,0.0,5.0,0,0,6,0
substance,1,0,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,0,0,1.0,0.76470588235294112,0.0,0.0,1.0,0,0,9,0
unblocked,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,0,0,1.0,0.52380952380952384,0.0,0.0,1.0,0,0,9,0
k,0,0,0,,,,0.8371040723981901,,,,,,,,,,,0,,0,0,0,,0,0,,0,0,1,0
controler,4,1,4,0.0,0.0,0.25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.3333333333333333,0.36977513227513231,0.0,0.0,1.25,0,0,9,0
reports,3,0,2,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,0,0,1.5,0.6254066985645933,0.0,0.0,1.5,1,0,7,0
circumferences,1,0,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,0,0,1.0,0.86764705882352944,0.0,0.0,1.0,1,0,14,0
dependencies,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.16666666666666666,1.0,0.0,0,,0,0,1.0,1,0,12,0
cages,5,1,3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.25,0.0,0.0,2.0,0.41967621419676215,0.0,0.0,2.5,1,0,5,0
military,2,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,0,0,1.0,0.50588235294117645,0.0,0.0,1.0,0,0,8,0
spotty,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,0,0,1.0,0.73684210526315785,0.0,0.0,1.0,0,0,6,0
cancellation,1,1,1,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0,,0,0,1.0,0,0,12,0
quadcoptor,4,2,4,0.25,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.8125,0.0,0.5,1.0,0.41964285714285715,0.0,0.0,2.0,0,0,10,0
pairings,2,0,2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0,,0,0,1.0,0.48073308270676696,0.0,0.0,1.0,1,0,8,0
criticism,2,0,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,0,0,2.0,0.22774869109947643,0.0,0.0,2.0,0,0,9,0
appropriately,3,0,3,0.0,0.0,0.33333333333333331,0.0,0.0,0.0,0.33333333333333331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,0,0,1.0,0.56772884592433459,0.0,0.33333333333333331,1.0,0,0,13,0
topography,2,1,2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.34513274336283184,0.0,0.0,2.0,0,0,10,0
projection,18,3,13,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.0,0.0,2.1000000000000001,0.61328583793025626,0.0,0.0,2.1818181818181817,0,0,10,0
magically,3,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,0,0,1.0,0.62736640180213465,0.0,0.0,1.0,0,0,9,0
explained,17,0,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.058823529411764705,0.058823529411764705,0.0,0,,0,0,1.0,0.6015423820039264,0.0,0.0,1.0,0,0,9,0
replace,29,3,25,0.10344827586206896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.54285714285714282,0.33333333333333331,0.0,1.8181818181818181,0.52240098403728685,0.0,0.0,1.7916666666666667,0,0,7,0
brought,2,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,0,0,1.0,0.49573930143271844,0.0,0.0,1.0,0,0,7,0
substr,0,0,0,,,,1.0,,,,,,,,,,,0,,0,0,0,,0,0,,0,0,6,0
rowberg,2,0,2,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,0,0,1.0,0.54701149425287354,0.0,0.0,1.0,0,0,7,0
stern,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,0,0,1.0,0.65979381443298968,0.0,0.0,1.0,0,0,5,0
dlnmh,0,0,0,,,,1.0,,,,,,,,,,,0,,0,0,0,,0,0,,0,0,5,0
unis,1,0,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,0,0,1.0,0.5,0.0,0.0,1.0,1,0,4,0
txt,4,0,2,0.0,0.0,0.0,0.9333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,0,0,3.0,0.6111758474576271,0.0,0.0,3.0,0,0,3,0
unit,43,2,39,0.023255813953488372,0.0,0.046511627906976744,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.046511627906976744,0.0,0.0,1.0,1.0,0.0,1.0,1.1621621621621621,0.43226674331157589,0.0,0.0,1.2162162162162162,0,0,4,0
dne,0,0,0,,,,1.0,,,,,,,,,,,0,,0,0,0,,0,0,,0,0,3,0
derivatives,6,1,6,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.66666666666666663,0.0,0.0,1.0,0.73683194059286827,0.0,0.0,1.0,1,0,11,0
spoke,3,0,2,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,0,0,1.5,0.43355855855855852,0.0,0.0,1.5,0,0,5,0
dnm,1,0,1,0.0,0.0,0.0,0.9285714285714286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,0,0,14.0,0.79962546816479396,0.0,0.0,14.0,0,0,3,0
abbreviations,1,0,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,0,0,1.0,0.18811881188118812,0.0,0.0,1.0,1,0,13,0
music,4,0,4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,0,0,1.0,0.44361754172204992,0.0,0.0,1.0,0,0,5,0
therefore,84,0,77,0.33333333333333331,0.0,0.0,0.17647058823529413,0.0,0.011904761904761904,0.0,0.0,0.011904761904761904,0.0,0.0,0.0,0.0,0.0,0,,0,0,1.1038961038961039,0.49426749844801132,0.0,0.0,1.1038961038961039,0,0,9,0
